ID,Age,Income (USD),Rent (USD),Groceries (USD),Eating Out (USD),Entertainment (USD),Subscription Services (USD),Education (USD),Online Shopping (USD),Savings (USD),Investments (USD),Travel (USD),Fitness (USD),Miscellaneous (USD),total_expense,savings_rate,expense_to_income_ratio,discretionary_vs_fixed_ratio,PCA1,PCA2,cluster
1,24,7131,544,494,303,81,21,1937,402,1587,619,886,154,291,5113,0.2225494320572149,0.717010236993409,0.718655462184874,0.3707218297196375,-0.8534002655622522,1
2,21,5311,841,288,406,375,98,1660,262,145,2902,1032,237,296,5495,0.0273018263980418,1.0346450762568256,0.9702402294729292,0.392703987643645,0.18878099450849706,1
3,25,4125,784,501,79,327,27,1146,586,2991,2407,1284,85,157,4976,0.7250909090909091,1.2063030303030302,1.0468942821883995,0.2560359558032219,0.7009076429347111,2
4,22,3882,421,254,298,38,88,1056,160,2157,4452,210,232,381,3138,0.5556414219474498,0.8083462132921174,0.8128249566724437,-1.7101592611281522,-1.6106776757893297,3
5,24,2941,424,154,475,384,15,1536,476,763,3004,1328,186,151,5129,0.259435566133968,1.7439646378782727,1.4262062440870389,-0.08533209843636476,1.539701361455275,0
6,27,4479,1872,281,82,319,52,203,459,672,3914,1644,198,63,5173,0.1500334896182183,1.1549453002902434,1.1956706281833616,-0.08376387694953447,0.8341796123567354,1
7,20,3297,469,309,278,26,44,517,75,2129,2486,163,55,142,2078,0.6457385501971489,0.6302699423718532,0.6046332046332046,-2.645667869431694,-2.6460096225930863,3
8,24,5890,423,475,61,268,63,1832,546,1653,3402,553,26,155,4402,0.2806451612903226,0.7473684210526316,0.6124542124542125,-0.23595353986106224,-1.385141357838458,3
9,25,5509,1358,570,167,136,71,1974,438,1721,3596,1745,75,386,6920,0.3123978943546923,1.256126338718461,0.7734495130702204,2.475665875029923,0.7455356836900072,1
10,22,6350,1410,174,399,87,78,516,107,2796,1677,1004,270,392,4437,0.4403149606299212,0.6987401574803149,1.1128571428571428,-0.8579610027423056,-0.209896368375817,3
11,21,2894,945,376,204,53,91,442,628,1012,4039,1293,132,145,4309,0.3496890117484451,1.4889426399447132,1.4441293250141805,-1.1716780513573668,0.9066317485576437,0
12,25,5781,1085,527,472,213,25,1615,675,739,1304,406,240,294,5552,0.1278325549212939,0.9603874762151876,0.7204834211341804,0.9711187334850554,-0.6275524533900685,1
13,25,2769,500,232,442,344,17,1809,27,2763,4093,218,134,83,3806,0.9978331527627302,1.374503430841459,0.4978354978354978,0.1704984285728364,-1.548586050992542,3
14,20,6232,668,442,295,74,98,688,496,2845,1963,1597,121,315,4794,0.4565147625160462,0.7692554557124519,1.6662958843159066,-1.3106688500597057,1.4478056734528855,0
15,23,6887,1096,524,454,285,99,849,234,1008,3307,1018,281,251,5091,0.1463627123566139,0.7392188180630173,1.0619684082624543,-0.23392892764619538,0.0809580362179758,1
16,22,5214,376,158,381,61,95,832,571,2325,1361,291,90,70,2925,0.4459148446490218,0.5609896432681243,1.1412884333821376,-2.7157381906517553,-1.1833575084900179,3
17,19,2029,358,444,296,316,40,338,516,968,4294,1448,255,156,4167,0.4770823065549532,2.053721044849679,2.655263157894737,-2.004444322701879,3.2010380329874293,0
18,25,5123,730,588,78,250,19,1461,522,1129,1787,188,224,177,4237,0.2203786843646301,0.8270544602771813,0.5246491543720763,-0.04805721728629298,-1.80703941900425,3
19,23,7664,937,281,210,397,65,1468,264,952,1073,146,244,75,4087,0.1242171189979123,0.5332724425887265,0.5215934475055846,-0.47995071957503516,-2.1090745134618936,3
20,19,4458,1823,557,284,29,85,1159,497,406,1165,196,91,100,4821,0.0910722296994167,1.0814266487213997,0.3622492229443345,0.7893031775597918,-2.308800881935531,3
21,22,4414,408,505,239,377,79,386,328,2695,3599,1255,85,251,3913,0.6105573176257363,0.8864975079293158,2.0123171670515783,-2.243279148165966,1.5332119045879797,0
22,18,6389,1307,438,166,147,29,1048,250,2474,2717,1130,24,345,4884,0.3872280482078573,0.7644388793238378,0.748657357679914,0.18479122729606723,-0.7556607744696505,1
