ID,dominant_spending_intensity,anomaly_ratio,has_anomaly,behavior_type,behavior_risk_level,behavior_justification,savings_rate,expense_to_income_ratio,discretionary_vs_fixed_ratio,cluster,anomaly,financial_health,health_score,health_justification
0.0,Medium,0.0,False,Stable,Low,"Dominant intensity=Medium, anomaly_ratio=0.0",0.0,0.0,0.0,-1.0,0.0,Unknown,0.0,
1.0,Low,0.0,False,Stable,Low,"Dominant intensity=Low, anomaly_ratio=0.0",0.0,0.0,0.0,-1.0,0.0,Unknown,0.0,
2.0,Low,0.0,False,Stable,Low,"Dominant intensity=Low, anomaly_ratio=0.0",0.0,0.0,0.0,-1.0,0.0,Unknown,0.0,
3.0,Low,0.0,False,Stable,Low,"Dominant intensity=Low, anomaly_ratio=0.0",0.0,0.0,0.0,-1.0,0.0,Unknown,0.0,
4.0,Low,0.0,False,Stable,Low,"Dominant intensity=Low, anomaly_ratio=0.0",0.0,0.0,0.0,-1.0,0.0,Unknown,0.0,
5.0,Medium,0.0254237288135593,True,Inconsistent,High,"Dominant intensity=Medium, anomaly_ratio=0.03",0.0,0.0,0.0,-1.0,0.0,Unknown,0.0,
11.0,Medium,0.0,False,Stable,Low,"Dominant intensity=Medium, anomaly_ratio=0.0",0.0,0.0,0.0,-1.0,0.0,Unknown,0.0,
13.0,Low,0.0,False,Stable,Low,"Dominant intensity=Low, anomaly_ratio=0.0",0.0,0.0,0.0,-1.0,0.0,Unknown,0.0,
14.0,Medium,0.0084745762711864,True,Inconsistent,High,"Dominant intensity=Medium, anomaly_ratio=0.01",0.0,0.0,0.0,-1.0,0.0,Unknown,0.0,
16.0,Medium,0.0,False,Stable,Low,"Dominant intensity=Medium, anomaly_ratio=0.0",0.4459148446490218,0.5609896432681243,1.1412884333821376,3.0,1.0,Moderate,2.0,Healthy savings rate; Controlled spending; High discretionary spending; Anomalous financial behavior detected
17.0,High,0.0,False,Impulsive,Medium,"Dominant intensity=High, anomaly_ratio=0.0",0.0,0.0,0.0,-1.0,0.0,Unknown,0.0,
19.0,Low,0.211864406779661,True,Inconsistent,High,"Dominant intensity=Low, anomaly_ratio=0.21",0.0,0.0,0.0,-1.0,0.0,Unknown,0.0,
20.0,Low,0.0,False,Stable,Low,"Dominant intensity=Low, anomaly_ratio=0.0",0.0,0.0,0.0,-1.0,0.0,Unknown,0.0,
